time_stamp	x	y
1660822275.188447	1371	706
1660822275.188498	1371	706
1660822275.1885495	1371	706
1660822275.1886008	1371	706
1660822275.1886516	1371	706
1660822275.188703	1371	706
1660822275.1887543	1371	706
1660822275.1888058	1371	706
1660822275.1888769	1371	706
1660822275.1889307	1371	706
1660822275.1889825	1371	706
1660822275.189035	1371	706
1660822275.189087	1371	706
1660822275.1891391	1371	706
1660822275.1891906	1371	706
1660822275.1892414	1371	706
1660822275.1892924	1371	706
1660822275.1893435	1371	706
1660822275.1893947	1371	706
1660822275.1894453	1371	706
1660822275.1894958	1371	706
1660822275.1895468	1371	706
1660822275.1895974	1371	706
1660822275.1896493	1371	706
1660822275.1897006	1371	706
1660822275.1897516	1371	706
1660822275.1898022	1371	706
1660822275.189853	1371	706
1660822275.1899033	1371	706
1660822275.189954	1371	706
1660822275.190005	1371	706
1660822275.190074	1371	706
1660822275.190209	1369	707
1660822275.1902955	1369	707
1660822275.1903522	1369	707
1660822275.1904042	1369	707
1660822275.190454	1369	707
1660822275.1905034	1369	707
1660822275.1905532	1369	707
1660822275.1906028	1369	707
1660822275.1906524	1369	707
1660822275.1907012	1369	707
1660822275.1907496	1369	707
1660822275.1907978	1369	707
1660822275.1908464	1369	707
1660822275.1908948	1369	707
1660822275.1909425	1369	707
1660822275.1909904	1369	707
1660822275.1910398	1369	707
1660822275.191089	1369	707
1660822275.1911373	1369	707
1660822275.1911855	1369	707
1660822275.1912334	1369	707
1660822275.1912806	1369	707
1660822275.1913285	1369	707
1660822275.1913805	1369	707
1660822275.1914291	1369	707
1660822275.1914778	1369	707
1660822275.1915262	1369	707
1660822275.1915746	1369	707
1660822275.1916225	1369	707
1660822275.1916704	1369	707
1660822275.1917176	1369	707
1660822275.1917648	1369	707
1660822275.1918118	1369	707
1660822275.1918592	1369	707
1660822275.1919081	1369	707
1660822275.1919556	1369	707
1660822275.1920033	1369	707
1660822275.1920507	1369	707
1660822275.192099	1369	707
1660822275.192147	1369	707
1660822275.1921942	1369	707
1660822275.192242	1369	707
1660822275.1922896	1369	707
1660822275.192337	1369	707
1660822275.1923847	1369	707
1660822275.1924322	1369	707
1660822275.1924798	1369	707
1660822275.1925278	1369	707
1660822275.1925752	1369	707
1660822275.192623	1369	707
1660822275.19267	1369	707
1660822275.1927176	1369	707
1660822275.192766	1369	707
1660822275.1928136	1369	707
1660822275.192873	1369	707
1660822275.1929226	1369	707
1660822275.1929715	1369	707
1660822275.19302	1369	707
1660822275.193068	1369	707
1660822275.193116	1369	707
1660822275.1931636	1369	707
1660822275.1932108	1369	707
1660822275.1932585	1369	707
1660822275.1933064	1369	707
1660822275.193354	1369	707
1660822275.193401	1369	707
1660822275.1934495	1369	707
1660822275.1934974	1369	707
1660822275.1935446	1369	707
1660822275.193592	1369	707
1660822275.19364	1369	707
1660822275.1936874	1369	707
1660822275.1937351	1369	707
1660822275.1937828	1369	707
1660822275.1938303	1369	707
1660822275.1938782	1369	707
1660822275.1939254	1369	707
1660822275.1939738	1369	707
1660822275.1940207	1369	707
1660822275.1940682	1369	707
1660822275.1941152	1369	707
1660822275.1941624	1369	707
1660822275.1942096	1369	707
1660822275.1942565	1369	707
1660822275.1943054	1369	707
1660822275.194353	1369	707
1660822275.194401	1369	707
1660822275.1944482	1369	707
1660822275.1944954	1369	707
1660822275.1945431	1369	707
1660822275.19459	1369	707
1660822275.1946373	1369	707
1660822275.1946847	1369	707
1660822275.194733	1369	707
1660822275.1947803	1369	707
1660822275.1948278	1369	707
1660822275.1948757	1369	707
1660822275.1949232	1369	707
1660822275.1949708	1369	707
1660822275.1950183	1369	707
1660822275.195066	1369	707
1660822275.1951132	1369	707
1660822275.1951616	1369	707
1660822275.1952093	1369	707
1660822275.1952565	1369	707
1660822275.1953037	1369	707
1660822275.1953511	1369	707
1660822275.1953986	1369	707
1660822275.195446	1369	707
1660822275.1954932	1369	707
1660822275.1955407	1369	707
1660822275.1955888	1369	707
1660822275.195636	1369	707
1660822275.1956828	1369	707
1660822275.19573	1369	707
1660822275.1957772	1369	707
1660822275.1958246	1369	707
1660822275.1958728	1369	707
1660822275.1959252	1369	707
1660822275.1959743	1369	707
1660822275.1960232	1369	707
1660822275.1960716	1369	707
1660822275.19612	1369	707
1660822275.1961675	1369	707
1660822275.1962152	1369	707
1660822275.1962626	1369	707
1660822275.1963098	1369	707
1660822275.1963563	1369	707
1660822275.1964047	1369	707
1660822275.1964521	1369	707
1660822275.196499	1369	707
1660822275.1965473	1369	707
1660822275.1965952	1369	707
1660822275.196643	1369	707
1660822275.1966908	1369	707
1660822275.1967385	1369	707
1660822275.1967864	1369	707
1660822275.1968415	1369	707
1660822275.1968956	1369	707
1660822275.1969798	1369	707
1660822275.1970353	1369	707
1660822275.1970866	1369	707
1660822275.1971354	1369	707
1660822275.1971838	1369	707
1660822275.1972325	1369	707
1660822275.1972816	1369	707
1660822275.19733	1369	707
1660822275.1973784	1369	707
1660822275.197427	1369	707
1660822275.197475	1369	707
1660822275.1975236	1369	707
1660822275.197572	1369	707
1660822275.1976204	1369	707
1660822275.1976688	1369	707
1660822275.197717	1369	707
1660822275.1977654	1369	707
1660822275.1978137	1369	707
1660822275.197863	1369	707
1660822275.1979115	1369	707
1660822275.1979592	1369	707
1660822275.1980093	1369	707
1660822275.1980746	1369	707
1660822275.1981823	1366	710
1660822275.1982415	1366	710
1660822275.198304	1366	710
1660822275.1984253	1366	710
1660822275.1985173	1366	710
1660822275.1985974	1366	710
1660822275.1986759	1366	710
1660822275.1987548	1366	710
1660822275.198804	1366	710
1660822275.198853	1366	710
1660822275.1989021	1366	710
1660822275.1989508	1366	710
1660822275.1990001	1366	710
1660822275.199049	1366	710
1660822275.1990976	1366	710
1660822275.1991463	1366	710
1660822275.1991944	1366	710
1660822275.1992424	1366	710
1660822275.1992903	1366	710
1660822275.1993377	1366	710
1660822275.199385	1366	710
1660822275.1994321	1366	710
1660822275.1994805	1366	710
1660822275.199529	1366	710
1660822275.199577	1366	710
1660822275.1996245	1366	710
1660822275.1996715	1366	710
1660822275.1997187	1366	710
1660822275.1997657	1366	710
1660822275.1998131	1366	710
1660822275.1998608	1366	710
1660822275.199908	1366	710
1660822275.1999564	1366	710
1660822275.2000039	1366	710
1660822275.2000515	1366	710
1660822275.200099	1366	710
1660822275.2001467	1366	710
1660822275.2001946	1366	710
1660822275.2002425	1366	710
1660822275.2002902	1366	710
1660822275.2003384	1366	710
1660822275.200387	1366	710
1660822275.2004344	1366	710
1660822275.2004828	1366	710
1660822275.2005305	1366	710
1660822275.200578	1366	710
1660822275.2006252	1366	710
1660822275.2006729	1366	710
1660822275.20072	1366	710
1660822275.200767	1366	710
1660822275.2008142	1366	710
1660822275.2008743	1366	710
1660822275.2009237	1366	710
1660822275.200972	1366	710
1660822275.2010202	1366	710
1660822275.2010684	1366	710
1660822275.2011158	1366	710
1660822275.2011633	1366	710
1660822275.2012572	1366	710
1660822275.2013073	1366	710
1660822275.2013566	1366	710
1660822275.2014048	1366	710
1660822275.2014527	1366	710
1660822275.201501	1366	710
1660822275.201549	1366	710
1660822275.201597	1366	710
1660822275.2016454	1366	710
1660822275.201694	1366	710
1660822275.2017422	1366	710
1660822275.20179	1366	710
1660822275.2018378	1366	710
1660822275.2018852	1366	710
1660822275.201933	1366	710
1660822275.2019804	1366	710
1660822275.202028	1366	710
1660822275.2020752	1366	710
1660822275.2021246	1366	710
1660822275.202172	1366	710
1660822275.2022195	1366	710
1660822275.2022665	1366	710
1660822275.2023137	1366	710
1660822275.2023609	1366	710
1660822275.202408	1366	710
1660822275.2024553	1366	710
1660822275.2025023	1366	710
1660822275.202551	1366	710
1660822275.202598	1366	710
1660822275.2026455	1366	710
1660822275.2026927	1366	710
1660822275.20274	1366	710
1660822275.2027872	1366	710
1660822275.2028341	1366	710
1660822275.2028818	1366	710
1660822275.2029288	1366	710
1660822275.2029765	1366	710
1660822275.203024	1366	710
1660822275.2030709	1366	710
1660822275.203118	1366	710
1660822275.2031658	1366	710
1660822275.2032132	1366	710
1660822275.203261	1366	710
1660822275.2033083	1366	710
1660822275.2033563	1366	710
1660822275.2034042	1366	710
1660822275.2034519	1366	710
1660822275.2034993	1366	710
1660822275.2035465	1366	710
1660822275.2035942	1366	710
1660822275.203642	1366	710
1660822275.203689	1366	710
1660822275.203737	1366	710
1660822275.2037845	1366	710
1660822275.2038321	1366	710
1660822275.2038798	1366	710
1660822275.2039275	1366	710
1660822275.2039747	1366	710
1660822275.2040222	1366	710
1660822275.2040694	1366	710
1660822275.204117	1366	710
1660822275.2041655	1366	710
1660822275.2042131	1366	710
1660822275.2042606	1366	710
1660822275.2043073	1366	710
1660822275.204354	1366	710
1660822275.2044013	1366	710
1660822275.204448	1366	710
1660822275.2044952	1366	710
1660822275.204542	1366	710
1660822275.2045898	1366	710
1660822275.2046368	1366	710
1660822275.204684	1366	710
1660822275.2047312	1366	710
